OBJECTID;AV_FE_APER;AV_PROF;AV_TIPO_EL;AV_ELE_TUB;TR_DIA_INT;TR_DIA_EXT;TR_MATERIA;TR_LONG;TR_FE_INST;TR_FE_UREV;TR_IMPULSI;TR_RUG;TR_TIPO_RE;AV_ESPROVO;FECHA
5504;20180407;0,40000000000;DIS;1;26,00000000000;32,00000000000;PAD;296,16238423400;19870101;0;0;0,00600000000;P;N;07/04/2018
1095;20110215;0,50000000000;DIS;1;20,40000000000;25,00000000000;PAD;78,72331153020;19870101;0;0;0,00600000000;P;N;15/02/2011
1096;20110217;0,50000000000;DIS;1;17,00000000000;20,00000000000;PVB;54,20144789820;19870101;0;0;0,00900000000;P;N;17/02/2011
1097;20110223;1,00000000000;DIS;1;20,40000000000;25,00000000000;PAD;48,13376228750;19870101;0;0;0,00600000000;P;N;23/02/2011
1100;20110214;0,60000000000;DIS;1;26,00000000000;32,00000000000;PAD;597,80826530500;19870101;0;0;0,00600000000;P;N;14/02/2011
1101;20110224;0,70000000000;DIS;1;40,80000000000;50,00000000000;PAD;477,06296571300;19870101;0;0;0,00600000000;P;N;24/02/2011
1102;20110225;0,50000000000;DIS;1;20,40000000000;25,00000000000;PAD;78,72331153020;19870101;0;0;0,00600000000;P;N;25/02/2011
5505;20180409;0,40000000000;ACO;0;50,00000000000;66,00000000000;FBA;58,66210484900;19700509;0;0;0,09900000000;P;N;09/04/2018
1103;20110225;0,14000000000;DIS;1;80,00000000000;98,00000000000;FBA;283,38722360100;19700509;0;0;0,09900000000;P;N;25/02/2011
1108;20110104;0,50000000000;DIS;1;51,40000000000;63,00000000000;PAD;58,66216316990;20131008;0;0;0,00600000000;P;N;04/01/2011
1109;20110105;0,50000000000;DIS;1;20,40000000000;25,00000000000;PAD;84,38897562090;19870101;0;0;0,00600000000;P;N;05/01/2011
1112;20110107;0,50000000000;DIS;1;51,40000000000;63,00000000000;PAD;237,66384879800;20101201;0;0;0,00600000000;P;N;07/01/2011
1116;20110111;0,40000000000;DIS;1;51,40000000000;63,00000000000;PAD;54,16441016090;20000820;0;0;0,00600000000;P;N;11/01/2011
1117;20110111;1,10000000000;DIS;1;63,80000000000;75,00000000000;PVB;495,91760535800;19870101;0;0;0,00900000000;P;N;11/01/2011
1118;20110112;0,60000000000;DIS;1;27,20000000000;32,00000000000;PVB;226,09990106400;19870101;0;0;0,00900000000;P;N;12/01/2011
1119;20110113;0,70000000000;DIS;1;50,00000000000;66,00000000000;FBA;88,51720916530;19700509;0;0;0,09900000000;P;N;13/01/2011
5506;20180409;0,60000000000;ACO;0;40,80000000000;50,00000000000;PAD;25,75844647050;19870101;0;0;0,00600000000;P;N;09/04/2018
1120;20110113;0,50000000000;DIS;1;26,00000000000;32,00000000000;PAD;20,43146395010;19870101;0;0;0,00600000000;P;N;13/01/2011
1121;20110113;1,00000000000;DIS;1;63,80000000000;75,00000000000;PVB;98,82343123140;19870101;0;0;0,00900000000;P;N;13/01/2011
1122;20110114;0,40000000000;DIS;1;27,20000000000;32,00000000000;PVB;582,29039194100;19870101;0;0;0,00900000000;P;N;14/01/2011
1123;20110114;0,50000000000;DIS;1;26,00000000000;32,00000000000;PAD;131,72246962100;19870101;0;0;0,00600000000;P;N;14/01/2011
1124;20110114;0,20000000000;DIS;1;300,00000000000;324,00000000000;FBA;14,48741591400;19700509;0;0;0,09900000000;A;N;14/01/2011
1125;20110117;0,96000000000;DIS;1;51,40000000000;63,00000000000;PAD;18,16590256690;20000620;0;0;0,00600000000;P;N;17/01/2011
1126;20110119;1,10000000000;DIS;1;20,40000000000;25,00000000000;PAD;63,90114319660;19870101;0;0;0,00600000000;P;N;19/01/2011
1127;20110120;0,80000000000;DIS;1;70,00000000000;86,00000000000;FBA;57,54930342660;19700509;0;0;0,09900000000;P;N;20/01/2011
1129;20110122;0,60000000000;DIS;1;34,00000000000;40,00000000000;PVB;364,58568839200;19870101;0;0;0,00900000000;P;N;22/01/2011
1130;20110124;0,70000000000;DIS;1;150,00000000000;170,00000000000;FBA;107,10204761900;19700509;0;0;0,09900000000;P;N;24/01/2011
1133;20110125;0,70000000000;DIS;1;42,60000000000;50,00000000000;PVB;754,27864393900;19870101;0;0;0,00900000000;P;N;25/01/2011
1136;20110126;0,70000000000;DIS;1;100,00000000000;116,00000000000;FBA;215,44964483900;19700509;0;0;0,09900000000;P;N;26/01/2011
1137;20110126;0,50000000000;DIS;1;20,40000000000;25,00000000000;PAD;60,40377398350;19870101;0;0;0,00600000000;P;N;26/01/2011
5507;20180409;0,60000000000;DIS;1;42,60000000000;50,00000000000;PVB;120,00842475000;19870101;0;0;0,00900000000;S;N;09/04/2018
5508;20180409;0,60000000000;ACO;0;76,60000000000;90,00000000000;PVB;153,50364897800;19870101;0;0;0,00900000000;P;N;09/04/2018
1139;20110126;1,10000000000;DIS;1;130,80000000000;160,00000000000;PAD;83,84497508150;20011220;0;0;0,00600000000;P;N;26/01/2011
1140;20110126;0,50000000000;DIS;1;42,60000000000;50,00000000000;PVB;37,63547293130;19870101;0;0;0,00900000000;P;N;26/01/2011
1142;20110131;1,00000000000;DIS;1;100,00000000000;116,00000000000;FBA;100,85940037300;19700509;0;0;0,09900000000;P;N;31/01/2011
1143;20110103;0,90000000000;DIS;1;130,80000000000;160,00000000000;PAD;75,90878070850;20050512;0;0;0,00600000000;P;N;03/01/2011
1144;20110110;0,90000000000;DIS;1;73,60000000000;90,00000000000;PAD;26,76096676140;20010525;0;1;0,00600000000;P;N;10/01/2011
1145;20110111;0,80000000000;DIS;1;76,60000000000;90,00000000000;PVB;184,11602526800;19870101;0;0;0,00900000000;P;N;11/01/2011
1146;20110111;0,90000000000;DIS;1;80,00000000000;98,00000000000;FBA;229,38192729100;19700509;0;0;0,09900000000;P;N;11/01/2011
1147;20111111;0,60000000000;DIS;1;63,80000000000;75,00000000000;PVB;144,30691221700;19870101;0;0;0,00900000000;P;N;11/11/2011
1148;20110114;0,80000000000;DIS;1;73,60000000000;90,00000000000;PAD;26,76096676140;20010525;0;1;0,00600000000;P;N;14/01/2011
1149;20110114;0,80000000000;DIS;1;73,60000000000;90,00000000000;PAD;26,76096676140;20010525;0;1;0,00600000000;P;N;14/01/2011
1150;20110121;0,80000000000;DIS;1;76,60000000000;90,00000000000;PVB;165,42464685700;19870101;0;0;0,00900000000;P;N;21/01/2011
1151;20110125;0,80000000000;DIS;1;76,60000000000;90,00000000000;PVB;231,66524773500;19870101;0;0;0,00900000000;P;N;25/01/2011
1152;20110126;1,00000000000;DIS;1;76,60000000000;90,00000000000;PVB;231,66524773500;19870101;0;0;0,00900000000;P;N;26/01/2011
1153;20110128;0,80000000000;DIS;1;90,00000000000;110,00000000000;PAD;219,38371473900;20030616;0;0;0,00600000000;P;N;28/01/2011
1154;20110128;0,80000000000;DIS;1;76,60000000000;90,00000000000;PVB;14,68610974960;19870101;0;0;0,00900000000;P;N;28/01/2011
1155;20101203;1,00000000000;DIS;1;300,00000000000;324,00000000000;FBA;47,46917347260;19700509;0;0;0,09900000000;A;N;03/12/2010
1156;20101207;0,80000000000;DIS;1;76,60000000000;90,00000000000;PVB;231,66524773500;19870101;0;0;0,00900000000;P;N;07/12/2010
1157;20101211;0,80000000000;DIS;1;80,00000000000;98,00000000000;FBA;65,13070574240;19700509;0;0;0,09900000000;P;N;11/12/2010
1158;20101213;0,90000000000;DIS;1;60,00000000000;76,00000000000;FBA;208,49173255800;19700509;0;0;0,09900000000;P;N;13/12/2010
1159;20101214;0,14000000000;DIS;1;73,60000000000;90,00000000000;PAD;22,80888962030;20000808;0;0;0,00600000000;P;N;14/12/2010
1160;20101215;0,80000000000;DIS;1;63,80000000000;75,00000000000;PVB;243,35568786600;19870101;0;0;0,00900000000;P;N;15/12/2010
1161;20101215;0,70000000000;DIS;1;51,40000000000;63,00000000000;PAD;93,02590765840;20050822;0;0;0,00600000000;P;N;15/12/2010
1162;20101226;0,60000000000;DIS;1;63,80000000000;75,00000000000;PVB;92,04489746240;19870101;0;0;0,00900000000;P;N;26/12/2010
1163;20101223;0,60000000000;DIS;1;76,60000000000;90,00000000000;PVB;125,99169026900;19870101;0;0;0,00900000000;P;N;23/12/2010
1164;20101223;0,80000000000;DIS;1;73,60000000000;90,00000000000;PAD;26,76096676140;20010525;0;1;0,00600000000;P;N;23/12/2010
1165;20101223;0,90000000000;DIS;1;204,60000000000;250,00000000000;PAD;284,10503997800;20050512;0;0;0,00600000000;S;N;23/12/2010
1166;20101201;1,00000000000;DIS;1;80,00000000000;98,00000000000;FBA;41,69993334240;19700509;0;0;0,09900000000;P;N;01/12/2010
1167;20101202;0,80000000000;DIS;1;40,80000000000;50,00000000000;PAD;120,23329249200;19870101;0;0;0,00600000000;P;N;02/12/2010
1169;20101203;0,40000000000;DIS;1;20,40000000000;25,00000000000;PAD;644,74920257000;19870101;0;0;0,00600000000;P;N;03/12/2010
1171;20101205;0,70000000000;DIS;1;32,60000000000;40,00000000000;PAD;586,25311698200;19870101;0;0;0,00600000000;P;N;05/12/2010
5510;20180409;0,50000000000;DIS;1;26,00000000000;32,00000000000;PAD;224,20749024700;19870101;0;0;0,00600000000;P;N;09/04/2018
5511;20180409;0,80000000000;DIS;1;90,00000000000;110,00000000000;PAD;264,10485731000;20020416;0;0;0,00600000000;P;N;09/04/2018
1174;20101208;0,90000000000;DIS;1;80,00000000000;98,00000000000;FBA;26,68690611740;19700509;0;0;0,09900000000;P;N;08/12/2010
